Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
143,32,3,74,7,Some Random Commen with Id 143
144,32,3,1,5,Some Random Commen with Id 144
145,33,8,71,8,Some Random Commen with Id 145
146,33,8,82,2,Some Random Commen with Id 146
147,33,8,148,4,Some Random Commen with Id 147
148,33,8,181,7,Some Random Commen with Id 148
149,34,2,38,7,Some Random Commen with Id 149
150,35,8,55,2,Some Random Commen with Id 150
151,35,8,172,9,Some Random Commen with Id 151
152,35,8,149,2,Some Random Commen with Id 152
153,35,8,46,1,Some Random Commen with Id 153
154,36,6,101,7,Some Random Commen with Id 154
155,36,6,86,1,Some Random Commen with Id 155
156,36,6,127,5,Some Random Commen with Id 156
157,37,2,29,6,Some Random Commen with Id 157
158,37,2,34,0,Some Random Commen with Id 158
159,37,2,72,2,Some Random Commen with Id 159
160,37,2,37,0,Some Random Commen with Id 160
161,37,2,137,7,Some Random Commen with Id 161
162,38,2,38,1,Some Random Commen with Id 162
163,38,2,186,5,Some Random Commen with Id 163
164,38,2,41,5,Some Random Commen with Id 164
165,38,2,100,1,Some Random Commen with Id 165
166,38,2,186,7,Some Random Commen with Id 166
167,39,9,21,0,Some Random Commen with Id 167
168,39,9,143,8,Some Random Commen with Id 168
169,39,9,126,5,Some Random Commen with Id 169
170,39,9,112,1,Some Random Commen with Id 170
171,39,9,145,2,Some Random Commen with Id 171
172,39,9,104,3,Some Random Commen with Id 172
173,39,9,198,9,Some Random Commen with Id 173
174,39,9,197,2,Some Random Commen with Id 174
